application/arj, arj
application/base64, mme
application/binhex, hqx
application/book, boo|book
application/CDFV2, sdv
application/clariscad, ccad
application/commonground, dp
application/drafting, drw
application/freeloader, frl
application/futuresplash, spl
application/groupwise, vew
application/gzip, gz
application/hta, hta
application/i-deas, unv
application/iges, iges|igs
application/inf, inf
application/java-archive, jar
application/java, class
application/javascript,
application/x-archive, a
application/json, json
application/marc, mrc
application/mbedlet, mbd
application/mime, aps
application/mspowerpoint, ppz
application/msword, doc|dot|w6w|wiz|word
application/netmc, mcp
application/octet-stream, bin|dump|gpg
application/oda, oda
application/pdf, pdf
application/pgp-signature, pgp
application/pkcs7-signature, p7s
application/pkix-cert, cer|crt
application/postscript, ai|ps
application/pro_eng, part|prt
application/ringing-tones, rng
application/smil, smi|smil
application/solids, sol
application/sounder, sdr
application/step, step|stp
application/streamingmedia, ssm
application/vda, vda
application/vnd.fdf, fdf
application/vnd.font-fontforge-sfd, sfd
application/vnd.hp-hpgl, hgl|hpg|hpgl
application/vnd.ms-excel, xlb|xlc|xll|xlm|xls|xlw
application/vnd.ms-fontobject, eot
application/vnd.ms-opentype, otf
application/vnd.ms-pki.certstore, sst
application/vnd.ms-pki.pko, pko
application/vnd.ms-pki.seccat, cat
application/vnd.ms-powerpoint, pot|ppa|pps|ppt|pwz
application/vnd.ms-project, mpp
application/vnd.oasis.opendocument.base, odb
application/vnd.oasis.opendocument.formula, odf
application/vnd.oasis.opendocument.graphics, odg
application/vnd.oasis.opendocument.text, odt
application/vnd.wap.wmlc, wmlc
application/vnd.wap.wmlscriptc, wmlsc
application/vnd.xara, web
application/vocaltec-media-desc, vmd
application/vocaltec-media-file, vmf
application/wordperfect6.0, w60
application/wordperfect6.1, w61
application/wordperfect, wp|wp5|wp6|wpd
application/x-123, wk1
application/x-aim, aim
application/x-authorware-bin, aab
application/x-authorware-map, aam
application/x-authorware-seg, aas
application/x-bcpio, bcpio
application/x-bittorrent, torrent
application/x-bsh, bsh
application/x-bytecode.python, pyc
application/x-bzip2, boz|bz2
application/x-bzip, bz
application/x-cdlink, vcd
